"","ID","Bar.Code","Item","Make","Model","Serial.Number","Description","Calibration.Date","Calibration.Equipment","Location","Responsible.Lab","Funding.Source","Project","Other.ID","Notes","Status","Cal.Report.Y.N","Picture","Picture.URL","Old.Asset.Number","OU.Asset","Asset.Type","Specification.Characteristics","Calilbration.Date","Maintenance.Date","Picture.Yes.No","Project.Equipment..Yes.No.","Class"
"13","L######","`F-00013~","F-00013","Cisco","UCS C210M2","QCI1543AAF","Server","N/A","N/A","160D","C&C Lab","","","SCE Device ID D164877","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00013, Cisco, UCS C210M2, QCI1543AAF, Server.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"14","L######","`F-00014~","F-00014","McAfee","S416","J044237030","Server","N/A","N/A","160D","C&C Lab","","","SCE Device ID D164874","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00014, McAfee, S416, J044237030, Server.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"15","L######","`F-00015~","F-00015","CotyTech","CT-M51-M","N/A","Silver-Mobile T.V. Cart","N/A","N/A","160D","AT Lab","","","","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00015, CotyTech, CT-M51-M, Silver-Mobile TV Cart.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"16","L######","`F-00016~","F-00016","Schweitzer Engineering Laboratories","SEL-587Z","1142950038","High-Impedance Differential Relay","N/A","N/A","160D","PS Lab","","","","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00016, SEL, SEL-587Z, 1142950038, High-Impedance Differential Relay.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"17","L######","`F-00017~","F-00017","Schweitzer Engineering Laboratories","SEL-587Z","1152880177","High-Impedance Differential Relay","N/A","N/A","160D","PS Lab","","","","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00017, SEL, SEL-587Z, 1152880177, High-Impedance Differential Relay.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"18","L######","`F-00018~","F-00018","Schweitzer Engineering Laboratories","SEL-587Z","1142950039","High-Impedance Differential Relay","N/A","N/A","160D","PS Lab","","","","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00018, SEL, SEL-587Z, 1142950039, High-Impedance Differential Relay.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"19","L######","`F-00019~","F-00019","Schweitzer Engineering Laboratories","SEL-311L","1142960037","Line Current Differential Protection and Automation System","N/A","N/A","160D","PS Lab","","","","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00019.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"20","L######","`F-00020~","F-00020","Schweitzer Engineering Laboratories","SEL-311L","1142960036","Line Current Differential Protection and Automation System","N/A","N/A","160D","PS Lab","","","","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00020.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"21","L######","`F-00021~","F-00021","Schweitzer Engineering Laboratories","SEL-311L","1152920168","Line Current Differential Protection and Automation System","N/A","N/A","160D","PS Lab","","","","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00021.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"22","L######","`F-00022~","F-00022","Schweitzer Engineering Laboratories","SEL-311L","1152920167","Line Current Differential Protection and Automation System","N/A","N/A","160D","PS Lab","","","","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00022.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"23","L######","`F-00023~","F-00023","Schweitzer Engineering Laboratories","SEL-387","1142970176","Current Differential Relay Overcurrent Relay Data Recorder","N/A","N/A","160D","PS Lab","","","","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00023.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"24","L######","`F-00024~","F-00024","Schweitzer Engineering Laboratories","SEL-387","1152920184","Current Differential Relay Overcurrent Relay Data Recorder","N/A","N/A","160D","PS Lab","","","","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00024.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"25","L######","`F-00025~","F-00025","Schweitzer Engineering Laboratories","SEL-387","115290185","Current Differential Relay Overcurrent Relay Data Recorder","N/A","N/A","160D","PS Lab","","","","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00025.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"26","L######","`F-00026~","F-00026","Schweitzer Engineering Laboratories","SEL-3378","1152870427","Synchrophasor Vector Processor","N/A","N/A","160D","PS Lab","","","","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00026, SEL, SEL-3378, 1152870427, Synchrophasor Vector Processor.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
